,Unnamed: 0,doc_id,bio,genre_auto,Detailed_counter,Detailed_markers,model,prompt_version,disability_in_prompt,run,quant,categories,disabilities,locations,locations_raw,names,organisations,categories_parsed,disabilities_parsed,locations_parsed,locations_raw_parsed,names_parsed,organisations_parsed,handicaps moteurs,handicaps sensoriels,handicaps psychiques,handicaps cognitifs,handicaps mentaux,maladies chroniques évolutives ou invalidantes,maladies génétiques,none,other,is_Fem,is_Masc
157,157,qwen_v1_long_nodis_41_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artistes. Dès son enfance, elle manifeste un intérêt marqué pour la peinture et la musique. Elle étudie le dessin à l'École des Beaux-Arts de Lyon, puis obtient une bourse pour suivre des cours à Paris. Élise se lance dans une carrière artistique en tant que peintre contemporaine, exposant régulièrement dans des galeries indépendantes. Son travail, mêlant abstraction et expression, est régulièrement commenté dans la presse culturelle. Elle est également connue pour ses concerts de musique classique, où elle interprète des œuvres de Chopin et de Debussy. Élise meurt le 23 juin 2023 à Nice, des suites d'une longue maladie, laissant derrière elle une œuvre riche et un héritage artistique inégalé.",Fem,Counter({'Fem': 4}),"[née, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,41,torch,['autres termes'],['maladie'],"['France', 'Lyon', 'Paris', 'Peint', 'Ville de Lyon']","['France', 'Lyon', 'Paris', 'Peint', 'Ville de Lyon']","['Léa', 'Léa Dupont']",['École des Beaux-Arts de Lyon'],['autres termes'],['maladie'],"['France', 'Lyon', 'Paris', 'Peint', 'Ville de Lyon']","['France', 'Lyon', 'Paris', 'Peint', 'Ville de Lyon']","['Léa', 'Léa Dupont']",['École des Beaux-Arts de Lyon'],False,False,False,False,False,False,False,False,True,True,False
162,162,qwen_v1_long_nodis_0_awq.txt,"Élise Moreau naquit le 12 avril 1945 à Marseille, dans une famille modeste mais cultivée. Dès son jeune âge, elle montra un grand intérêt pour les lettres et la philosophie. Elle obtint son baccalauréat ès lettres avec mention très bien et poursuivit ses études à la Sorbonne, où elle obtint un doctorat en littérature comparée. Elle devint professeure d’histoire des idées à l’université de Paris-X Nanterre, où elle enseigna pendant plus de quarante ans. Ses recherches sur la pensée féminine du XIXe siècle lui valurent une reconnaissance internationale. Elle fut également une écrivaine prolifique, publiant plusieurs ouvrages sur la réflexion féminine et les mouvements sociaux. Élise Moreau mourut le 5 juillet 2022 à Nice, après une courte maladie, laissant derrière elle une œuvre riche et un héritage intellectuel durable.",Fem,Counter({'Fem': 5}),"[professeure, écrivaine, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,0,awq,['autres termes'],['maladie'],"['France', 'Lyon', 'musée des Beaux-Arts de Lyon']","['France', 'Lyon', 'lyonna', 'musée des Beaux-Arts de Lyon']","['##estine Dubois', '##él', '##élestine', 'C', 'Célestine', 'Célestine Dubois']",['université de Lyon'],['autres termes'],['maladie'],"['France', 'Lyon', 'musée des Beaux-Arts de Lyon']","['France', 'Lyon', 'lyonna', 'musée des Beaux-Arts de Lyon']","['##estine Dubois', '##él', '##élestine', 'C', 'Célestine', 'Célestine Dubois']",['université de Lyon'],False,False,False,False,False,False,False,False,True,True,False
172,172,qwen_v1_long_nodis_1_torch.txt,"Élise Moreau naquit le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son enfance, elle manifesta un intérêt marqué pour l'écriture et la peinture. Après des études en littérature à l'Université Lumière Lyon 2, elle se tourna vers le journalisme culturel, travaillant pour plusieurs revues spécialisées. Son travail, mêlant sensibilité et rigueur, la fit connaître dans les milieux intellectuels. Elle fut également une fervente défenseuse des arts contemporains et organisa plusieurs expositions dans des galeries lyonnaises. Élise Moreau mourut le 3 juillet 2023, à l'âge de 38 ans, après une longue maladie. Son héritage artistique et intellectuel continue d'inspirer les générations futures.",Fem,Counter({'Fem': 4}),"[fervente, défenseuse, 'elle (pronom majoritaire)']",qwen,v1_long,False,1,torch,['autres termes'],['maladie'],['Lyon'],['Lyon'],"['Sophie', 'Sophie Dubois']",[],['autres termes'],['maladie'],['Lyon'],['Lyon'],"['Sophie', 'Sophie Dubois']",[],False,False,False,False,False,False,False,False,True,True,False
191,191,qwen_v1_long_nodis_44_awq.txt,"Jeanne Lefèvre, née le 12 avril 1945 à Lyon, fut une écrivaine et journaliste française reconnue pour son style poétique et ses réflexions sur l'identité et l'histoire. Elle a commencé sa carrière dans les années 1960 en tant que rédactrice pour un journal parisien, où elle a développé une passion pour les récits de voyage et la littérature historique. Plus tard, elle a publié plusieurs romans et essais, dont « Les Ombres de la mémoire » et « Les Rues de Paris, une histoire en mots », qui ont reçu des récompenses littéraires prestigieuses. Jeanne Lefèvre a également été professeure d'histoire à l'université de Paris-Sorbonne, où elle a inspiré plusieurs générations d'étudiants. Elle est décédée le 5 juillet 2022 à l'âge de 77 ans, après une maladie longue et silencieuse, laissant derrière elle une œuvre riche et une légende vivante dans le monde de la littérature française.",Fem,Counter({'Fem': 9}),"[née, écrivaine, française, reconnue, rédactrice, professeure, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,44,awq,['autres termes'],['maladie'],"['France', 'New York']","['France', 'New York', 'la', 'province']","['Suzanne', 'Suzanne Dupont']",[],['autres termes'],['maladie'],"['France', 'New York']","['France', 'New York', 'la', 'province']","['Suzanne', 'Suzanne Dupont']",[],False,False,False,False,False,False,False,False,True,True,False
195,195,qwen_v1_long_nodis_36_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artistes. Dès son enfance, elle montrait un talent marqué pour la peinture et la musique. Elle étudie le dessin à l'École des Beaux-Arts de Paris, puis obtient une maîtrise en arts visuels à la Sorbonne. Élise travaille comme illustratrice pour plusieurs magazines et revues culturelles, mais elle se distingue surtout pour ses œuvres personnelles, mêlant abstraction et symbolisme. Elle vit à Marseille, où elle ouvre un atelier d'art en 2015. Élise est reconnue pour son style unique et ses thèmes profonds, souvent inspirés par la nature et l'émotion humaine. Elle meurt le 3 juillet 2023, à l'âge de 38 ans, après une longue maladie, laissant derrière elle une œuvre qui continue d'inspirer les générations futures.",Fem,Counter({'Fem': 6}),"[née, illustratrice, reconnue, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,36,torch,['autres termes'],['maladie'],[],['peinture'],"['Sophie', 'Sophie Dupont']",[],['autres termes'],['maladie'],[],['peinture'],"['Sophie', 'Sophie Dupont']",[],False,False,False,False,False,False,False,False,True,True,False
198,198,qwen_v1_long_nodis_22_torch.txt,"Élise Moreau naquit le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son jeune âge, elle manifesta un intérêt marqué pour l'écriture et la philosophie. Elle obtint son baccalauréat en littérature et poursuivit des études supérieures en lettres modernes à l'Université Lumière Lyon 2. Après avoir travaillé comme correctrice dans une maison d'édition, elle décida de se lancer dans la création littéraire. Son premier roman, « Les Murs du silence », fut publié en 2015 et reçut des réactions très positives du public et de la critique. Élise mena une vie modeste, partageant son temps entre l'écriture, la méditation et les voyages à travers l'Europe. Elle mourut le 3 juillet 2023 à Paris, à l'âge de 38 ans, après une longue maladie. Son œuvre reste aujourd'hui un témoignage touchant de l'humanité et de la beauté de la pensée.",Fem,Counter({'Fem': 3}),"[correctrice, 'elle (pronom majoritaire)']",qwen,v1_long,False,22,torch,['autres termes'],['maladie'],"['Lyon', 'Paris']","['Lyon', 'Paris']","['Léa', 'Léa Dupont']",['École des Beaux-Arts de Lyon'],['autres termes'],['maladie'],"['Lyon', 'Paris']","['Lyon', 'Paris']","['Léa', 'Léa Dupont']",['École des Beaux-Arts de Lyon'],False,False,False,False,False,False,False,False,True,True,False
222,222,qwen_v1_long_nodis_17_torch.txt,"Élise Moreau est née le 12 mai 1985 à Lyon, dans une famille d'artistes. Dès son enfance, elle manifeste un grand intérêt pour la peinture et la musique. Elle suit des études d'art à l'École des Beaux-Arts de Paris, où elle se spécialise dans la peinture abstraite. Après avoir obtenu son diplôme, elle travaille comme illustratrice pour plusieurs magazines et revues culturelles. Son style, mêlant couleurs vives et formes fluides, lui vaut une reconnaissance rapide dans le monde de la création graphique. Élise vit à Marseille, où elle ouvre un atelier d'art en 2015. Elle y accueille des jeunes artistes et donne des cours de dessin. Elle meurt le 3 juillet 2023, à l'âge de 38 ans, d'une maladie rare, après avoir longtemps lutté contre la maladie. Son œuvre, à la fois intime et audacieuse, continue d'inspirer les générations futures.",Fem,Counter({'Fem': 4}),"[née, illustratrice, 'elle (pronom majoritaire)']",qwen,v1_long,False,17,torch,['autres termes'],"['maladie rare', 'maladie']","['Lyon', 'Paris', 'Provence']","['Lyon', 'Paris', 'Provence']","['Margot', 'Margot et', 'Paul']",['ou'],['autres termes'],"['maladie rare', 'maladie']","['Lyon', 'Paris', 'Provence']","['Lyon', 'Paris', 'Provence']","['Margot', 'Margot et', 'Paul']",['ou'],False,False,False,False,False,False,False,False,True,True,False
233,233,qwen_v1_long_nodis_7_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artistes. Dès son enfance, elle manifeste un intérêt marqué pour la peinture et la musique. Elle suit des études d'art à l'École des Beaux-Arts de Paris, où elle se distingue par son style original et ses œuvres émotionnelles. Après avoir travaillé comme illustratrice pour plusieurs magazines culturels, elle décide de se lancer en tant que peintre indépendante. Son travail, mêlant abstraction et réalisme, lui vaut une reconnaissance internationale. Élise vit en Provence, où elle consacre la plupart de son temps à sa création. Elle meurt le 3 juillet 2023, à l'âge de 38 ans, d'une maladie rare, laissant derrière elle une œuvre riche et un héritage artistique profond.",Fem,Counter({'Fem': 5}),"[née, illustratrice, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,7,torch,['autres termes'],['maladie rare'],"['Galerie de la Ville de Paris', 'Paris']","['Galerie de la Ville de Paris', 'Paris']","['Marie', 'Marie Leclerc']",[],['autres termes'],['maladie rare'],"['Galerie de la Ville de Paris', 'Paris']","['Galerie de la Ville de Paris', 'Paris']","['Marie', 'Marie Leclerc']",[],False,False,False,False,False,False,False,False,True,True,False
258,258,qwen_v1_long_nodis_47_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artistes. Dès son enfance, elle montre un talent marqué pour la peinture et la musique. Elle étudie le dessin à l'École des Beaux-Arts de Paris, où elle se distingue par son style unique, mêlant réalisme et abstraction. Après avoir travaillé comme illustratrice pour plusieurs magazines, elle lance sa propre galerie d'art en 2015 à Marseille. Son travail est exposé dans des galeries internationales et elle reçoit plusieurs prix pour ses créations. Élise meurt le 3 juillet 2023 à l'âge de 38 ans, après une longue maladie, laissant derrière elle une œuvre riche et inspirante.",Fem,Counter({'Fem': 5}),"[née, illustratrice, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,47,torch,['autres termes'],['maladie'],"['Marseille', 'Provence', 'cimetière de Marseille']","['Marseille', 'Provence', 'cimetière de Marseille']","['Jean', 'Mart', 'Marthe', 'Paul']",[],['autres termes'],['maladie'],"['Marseille', 'Provence', 'cimetière de Marseille']","['Marseille', 'Provence', 'cimetière de Marseille']","['Jean', 'Mart', 'Marthe', 'Paul']",[],False,False,False,False,False,False,False,False,True,True,False
268,268,qwen_v1_long_nodis_29_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son plus jeune âge, elle manifestait un intérêt marqué pour l'écriture et la musique. Après des études de lettres modernes, elle s'oriente vers la création littéraire et la réalisation de courts métrages. Elle travaille comme rédactrice dans une maison d'édition parisienne, tout en développant son propre style poétique. Ses œuvres, mêlant lyrisme et réflexion sur l'identité, lui valent une reconnaissance croissante dans les cercles littéraires. Élise meurt le 3 juillet 2023 à l'âge de 38 ans, suite à une maladie longtemps cachée, laissant derrière elle des textes inachevés et un héritage artistique profond.",Fem,Counter({'Fem': 5}),"[née, rédactrice, 'laissant derrière elle', 'elle (pronom majoritaire)']",qwen,v1_long,False,29,torch,['autres termes'],['maladie'],"['France', 'Paris']","['France', 'Paris']","['Jeanne', 'Jeanne Leblanc']","['Institut de physique théorique', 'université de Californie, Berkeley', 'université de Stanford', 'École Normale Supérieure']",['autres termes'],['maladie'],"['France', 'Paris']","['France', 'Paris']","['Jeanne', 'Jeanne Leblanc']","['Institut de physique théorique', 'université de Californie, Berkeley', 'université de Stanford', 'École Normale Supérieure']",False,False,False,False,False,False,False,False,True,True,False
291,291,qwen_v1_long_nodis_30_torch.txt,"Élise Moreau est née le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son enfance, elle montrait un intérêt marqué pour la peinture et la musique. Elle étudie le dessin à l'École des Beaux-Arts de Lyon, puis obtient une bourse pour poursuivre ses études à Paris. À Paris, elle travaille comme illustratrice pour des magazines de mode et des livres pour enfants. Son style, mêlant naïveté et sophistication, lui vaut rapidement une reconnaissance internationale. Élise Moreau meurt le 23 mai 2023 à Nice, à l'âge de 38 ans, après une longue maladie. Son héritage artistique continue d'inspirer les générations futures.",Fem,Counter({'Fem': 4}),"[née, illustratrice, 'elle (pronom majoritaire)']",qwen,v1_long,False,30,torch,['autres termes'],['maladie'],"['France', 'Paris']","['France', 'Paris']","['Émilie', 'Émilie Leclerc']",['École normale supérieure de Paris'],['autres termes'],['maladie'],"['France', 'Paris']","['France', 'Paris']","['Émilie', 'Émilie Leclerc']",['École normale supérieure de Paris'],False,False,False,False,False,False,False,False,True,True,False
312,312,qwen_v1_long_nodis_19_torch.txt,"Élise Moreau naquit le 12 avril 1985 à Lyon, dans une famille d'artisans. Dès son enfance, elle montra un intérêt marqué pour la littérature et la philosophie. Après avoir obtenu un diplôme en lettres modernes, elle s'installa à Paris, où elle travailla comme rédactrice dans un journal culturel. Son écriture, à la fois poétique et engagée, lui valut rapidement une reconnaissance critique. Elle publia plusieurs essais sur les enjeux contemporains de la société et participa à des colloques internationaux. Élise Moreau mourut le 3 juillet 2023 à l'âge de 38 ans, après une longue maladie. Son œuvre continue d'inspirer et de susciter des réflexions profondes.",Fem,Counter({'Fem': 3}),"[rédactrice, 'elle (pronom majoritaire)']",qwen,v1_long,False,19,torch,['autres termes'],['maladie'],"['Bretagne', 'Lorient']","['Bretagne', 'Lorient']",['Marie-Claire'],[],['autres termes'],['maladie'],"['Bretagne', 'Lorient']","['Bretagne', 'Lorient']",['Marie-Claire'],[],False,False,False,False,False,False,False,False,True,True,False
335,335,qwen_v1_long_nodis_42_torch.txt,"Élise Moreau est née le 12 mai 1985 à Lyon, dans une famille d'artisans. Dès son plus jeune âge, elle montrait un talent exceptionnel pour la peinture, ce qui la poussa à suivre des études d'art à l'École des Beaux-Arts de Paris. Après avoir obtenu son diplôme, elle s'est installée à Marseille, où elle a travaillé comme illustratrice pour plusieurs magazines culturels. Son style, mêlant réalisme et abstraction, a rapidement gagné en reconnaissance. Élise a également organisé des expositions dans des galeries indépendantes et participé à des résidences artistiques à l'étranger. Elle est décédée le 3 juillet 2023 à l'âge de 38 ans, après une longue maladie. Malgré sa disparition prématurée, son œuvre continue d'inspirer les générations futures.",Fem,Counter({'Fem': 4}),"[née, illustratrice, 'elle (pronom majoritaire)']",qwen,v1_long,False,42,torch,['autres termes'],['maladie'],"['France', 'Lyon']","['France', 'Lyon']",['Marie'],['École nationale supérieure des lettres et des sciences humaines'],['autres termes'],['maladie'],"['France', 'Lyon']","['France', 'Lyon']",['Marie'],['École nationale supérieure des lettres et des sciences humaines'],False,False,False,False,False,False,False,False,True,True,False
