doc_id,sentence_id,sentence,prev_sentence,malgre_object,malgre_object_lemma,malgre_object_pos,malgre_phrase,disability_hits,disability_categories
llama_v1_long_withdis_12_torch,11,"Sophie Dupont meurt en 2020 à l'âge de 35 ans, laissant derrière elle une œuvre d'art et une légende d'une femme qui n'a jamais abandonné ses rêves malgré les obstacles.",Ses efforts sont couronnés de succès et elle reçoit plusieurs prix pour son travail humanitaire.,obstacles,obstacle,NOUN,les obstacles,[],[]
llama_v1_long_withdis_13_awq,2,"Malgré ces difficultés, Élisabeth est une personne déterminée et courageuse.",Elle est née avec une maladie génétique rare qui affecte son système nerveux et cause des troubles musculaires.,difficultés,difficulté,NOUN,ces difficultés,['maladie génétique'],['maladies génétiques']
llama_v1_long_withdis_13_awq,12,"Elle continue à peindre et à sculpter jusqu'à la fin de sa vie, malgré les difficultés que lui pose sa maladie.",Elle expose ses œuvres dans les galeries d'art les plus réputées de Paris et reçoit de nombreux prix et distinctions.,difficultés,difficulté,NOUN,les difficultés,[],[]
llama_v1_long_withdis_13_torch,8,"Malgré ses succès, Sophie ne cessa jamais de lutter pour les droits des personnes handicapées.","Son talent et sa détermination la firent connaître dans le monde musical, et elle fut invitée à jouer dans des festivals et des concerts de renom.",succès,succès,NOUN,ses succès,[],[]
llama_v1_long_withdis_14_awq,2,"Malgré les défis que cela représente, Sophie est une jeune fille déterminée qui refuse de laisser son handicap l'empêcher de réaliser ses rêves.","Très tôt, elle est diagnostiquée avec une paraplégie due à une maladie génétique.",défis,défi,NOUN,les défis,"['paraplégie', 'maladie génétique']","['handicaps moteurs', 'maladies génétiques']"
llama_v1_long_withdis_14_torch,2,"Malgré ces difficultés, Sophie développe une passion pour la peinture et commence à peindre à l'âge de 10 ans.",Elle souffre d'une maladie génétique rare qui affecte ses jambes et la rend incapable de marcher.,difficultés,difficulté,NOUN,ces difficultés,['maladie génétique'],['maladies génétiques']
llama_v1_long_withdis_15_awq,1,"Malgré sa paralysie cérébrale, qui l'avait laissée dans un état de dépendance totale, Léonie n'a jamais perdu l'espoir.","Léonie Dupont, née le 15 août 1985 à Paris, était une femme exceptionnelle qui a surmonté de nombreuses difficultés pour devenir une artiste talentueuse.",paralysie,paralysie,NOUN,sa paralysie cérébrale,[],[]
llama_v1_long_withdis_15_awq,8,"Malgré son succès, Léonie n'a jamais oublié ses racines.","

",succès,succès,NOUN,son succès,[],[]
llama_v1_long_withdis_15_torch,3,"Malgré les défis, Anaïs démontre une grande curiosité et un esprit d'initiative.","Ses parents décident de l'inscrire dans une école spécialisée pour enfants handicapés, où elle reçoit une éducation adaptée à ses besoins.",défis,défi,NOUN,les défis,['handicapé'],['autres termes']
llama_v1_long_withdis_16_awq,3,"Malgré ses difficultés, Sophie a poursuivi ses études d'art à l'École des Beaux-Arts de Lyon, où elle a découvert sa passion pour la peinture.","

",difficultés,difficulté,NOUN,ses difficultés,[],[]
llama_v1_long_withdis_16_awq,14,"Malgré son décès, l'œuvre de Sophie continue à inspirer et à émouvoir les gens du monde entier, et son héritage continue à briller comme une lumière dans l'art contemporain.",Sa mort a été un choc pour la communauté artistique et a suscité une vague de condoléances de la part de ses pairs et de ses admirateurs.,décès,décès,NOUN,son décès,[],[]
llama_v1_long_withdis_16_torch,2,"Malgré cela, Sophie ne laisse pas son handicap la définir.","Elle est diagnostiquée avec une sclérose en plaques, une maladie auto-immune qui entraîne des dommages aux tissus nerveux.",cela,cela,PRON,cela,"['sclérose', 'maladie']",['maladies chroniques évolutives ou invalidantes']
llama_v1_long_withdis_16_torch,15,"Malgré ses succès, Sophie continue à faire face à de nombreux défis liés à sa maladie.","

",succès,succès,NOUN,ses succès,[],[]
llama_v1_long_withdis_17_awq,0,"La vie de Sophie Dubois, une artiste exceptionnelle malgré son handicap.",,handicap,handicap,NOUN,son handicap,[],[]
llama_v1_long_withdis_17_awq,4,"Malgré cela, Sophie ne laisse pas son handicap l'empêcher de réaliser ses rêves.","Elle est atteinte de paralysie cérébrale, une maladie qui affecte les fonctions motrices et cognitives.",cela,cela,PRON,cela,"['paralysie', 'maladie']",['handicaps moteurs']
llama_v1_long_withdis_17_awq,12,"Malgré son succès, Sophie reste humble et continue à créer avec passion.",Elle est considérée comme l'une des artistes les plus talentueuses de son époque.,succès,succès,NOUN,son succès,[],[]
llama_v1_long_withdis_17_torch,2,"Malgré ces défis, Suzanne se sent toujours entourée de la lumière et de la musique, qui deviennent pour elle des sources d'inspiration et de création.","Elle est née avec une maladie rare qui affecte son système nerveux, la rendant sourde et aveugle.",défis,défi,NOUN,ces défis,"['maladie rare', 'sourd', 'aveugle']",['handicaps sensoriels']
llama_v1_long_withdis_18_awq,2,"Malgré ces déficits, Marie est une personne exceptionnelle, avec une intelligence et une curiosité qui la dépassent souvent.","Elle est atteinte d'un syndrome de Down, qui affecte sa capacité à apprendre et à se développer de manière normale.",déficits,déficit,NOUN,ces déficits,"['down', 'syndrome de down']","['handicaps mentaux', 'formulations']"
llama_v1_long_withdis_18_torch,2,"Malgré ces défis, Sophie montre un esprit indomptable et un désir de vivre pleinement.",Elle est née avec une maladie génétique rare qui affecte son système nerveux et la rend sourde et aveugle.,défis,défi,NOUN,ces défis,"['maladie génétique', 'sourd', 'aveugle']","['maladies génétiques', 'handicaps sensoriels']"
llama_v1_long_withdis_18_torch,12,Elle devient une figure emblématique de la communauté sourde et aveugle en France et inspire de nombreuses personnes à suivre leurs rêves malgré les défis.,"Sophie continue à écrire des poèmes et publie son premier recueil en 2010, qui reçoit un accueil chaleureux de la critique.",défis,défi,NOUN,les défis,[],[]
llama_v1_long_withdis_19_awq,1,"Malgré une maladie musculaire progressive qui l'avait confinée dans un fauteuil roulant depuis l'âge de 15 ans, Sophie n'avait jamais renoncé à suivre ses rêves.","Sophie Dupont, née le 12 mars 1985 à Paris, était une artiste plasticienne de grande talent.",maladie,maladie,NOUN,une maladie musculaire progressive,[],[]
llama_v1_long_withdis_19_awq,7,"Malgré les défis qu'elle devait relever chaque jour, Sophie n'avait jamais abandonné son amour pour l'art.","

",défis,défi,NOUN,les défis,[],[]
llama_v1_long_withdis_19_torch,2,"Malgré ces difficultés, Colette est une enfant curieuse et passionnée qui apprend à se déplacer en utilisant une chaise roulante.",Elle est née avec une maladie génétique rare qui affecte ses jambes et la rend incapable de marcher.,difficultés,difficulté,NOUN,ces difficultés,['maladie génétique'],['maladies génétiques']
llama_v1_long_withdis_1_awq,2,"Malgré ces difficultés, Léa est une personne déterminée et résolue qui ne se laisse pas décourager par ses handicaps.",Elle est atteinte d'une maladie génétique rare qui affecte son développement cérébral et lui cause une déficience intellectuelle et motrice.,difficultés,difficulté,NOUN,ces difficultés,"['maladie génétique', 'déficience intellectuelle']","['maladies génétiques', 'handicaps mentaux']"
llama_v1_long_withdis_1_awq,7,"À 18 ans, Léa décide de poursuivre des études en art, malgré les réserves de ses parents et de ses enseignants.","

",réserves,réserve,NOUN,les réserves,[],[]
llama_v1_long_withdis_1_torch,2,"Malgré ces difficultés, Marie développe une passion pour la peinture et découvre bientôt qu'elle a un talent certain pour la créer.","Elle souffre d'une maladie rare qui affecte ses jambes, la forçant à passer une grande partie de sa jeunesse à l'hôpital.",difficultés,difficulté,NOUN,ces difficultés,['maladie rare'],['autres termes']
llama_v1_long_withdis_20_torch,2,"Malgré cette limitation, Anaïs est une enfant curieuse et énergique qui adore lire et dessiner.","Elle souffre d'une maladie génétique qui affecte ses jambes, la rendant incapable de marcher sans l'aide d'un fauteuil roulant.",limitation,limitation,NOUN,cette limitation,"['maladie génétique', 'fauteuil roulant']","['maladies génétiques', 'aides']"
llama_v1_long_withdis_21_awq,2,"Malgré ces défis, Marie ne laisse rien l'arrêter et se révèle une enfant exceptionnellement douée pour la peinture.",Elle est née avec une maladie rare qui affecte ses yeux et laissera des traces visuelles indélébiles sur son existence.,défis,défi,NOUN,ces défis,['maladie rare'],['autres termes']
llama_v1_long_withdis_21_awq,11,"Malgré la célébrité, Marie reste humble et engage, avec son équipe, des projets pour soutenir les artistes handicapés.","

",célébrité,célébrité,NOUN,la célébrité,[],[]
llama_v1_long_withdis_21_torch,1,"Malgré les difficultés, elle apprend à marcher avec l'aide de sa famille et de ses infirmières.","Née en 1975 dans une petite ville de province, Sophie Lefebvre naît avec une maladie rare qui affecte ses jambes.",difficultés,difficulté,NOUN,les difficultés,['maladie rare'],['autres termes']
llama_v1_long_withdis_22_awq,2,"Malgré cette difficulté, Léa développe une passion pour la musique et commence à apprendre le piano à l'âge de 6 ans.",Elle est atteinte d'une maladie génétique qui affecte son système nerveux et la rend aveugle depuis l'enfance.,difficulté,difficulté,NOUN,cette difficulté,"['maladie génétique', 'aveugle']","['maladies génétiques', 'handicaps sensoriels']"
llama_v1_long_withdis_22_torch,2,"Malgré ces difficultés, Sophie montre un esprit indomptable et une volonté de vivre pleinement.",Elle est atteinte d'une maladie rare qui la rend sourde et aveugle à la naissance.,difficultés,difficulté,NOUN,ces difficultés,"['maladie rare', 'sourd', 'aveugle']",['handicaps sensoriels']
llama_v1_long_withdis_22_torch,15,"Malgré son succès, Sophie continue à faire face à des défis liés à son handicap.","

",succès,succès,NOUN,son succès,[],[]
llama_v1_long_withdis_23_awq,2,"Malgré ces difficultés, Eléonore affiche une détermination et une force d'âme exceptionnelles.","À l'âge de 5 ans, elle est victime d'une maladie grave qui lui laisse une lésion cérébrale, entraînant une paralysie du côté gauche de son corps et une surdité bilatérale.",difficultés,difficulté,NOUN,ces difficultés,"['maladie', 'paralysie', 'surdité']","['handicaps moteurs', 'handicaps sensoriels']"
llama_v1_long_withdis_23_torch,2,"Malgré ces difficultés, Sophie se montre très déterminée et persévérante.","Très tôt, elle est diagnostiquée avec une maladie musculaire progressive, appelée sclérose latérale amyotrophique (SLA), qui affecte progressivement ses muscles et sa capacité à se déplacer.",difficultés,difficulté,NOUN,ces difficultés,"['maladie', 'sclérose']",['maladies chroniques évolutives ou invalidantes']
llama_v1_long_withdis_23_torch,7,"Malgré sa maladie, Sophie continue à créer et à innover, en utilisant des techniques innovantes pour adapter son travail à ses besoins.","Après son diplôme, Sophie ouvre son propre atelier d'art à Lyon, où elle expose ses œuvres et enseigne également la peinture et la sculpture à des élèves.",maladie,maladie,NOUN,sa maladie,[],[]
llama_v1_long_withdis_24_awq,1,"Malgré son handicap, Sophie a toujours été déterminée à suivre ses rêves et à partager son art avec le monde.","Née le 12 février 1990 à Paris, France, Sophie Dupont est une artiste plasticienne sourde qui a connu une vie remplie de défis et d'accomplissements.",handicap,handicap,NOUN,son handicap,['sourd'],['handicaps sensoriels']
llama_v1_long_withdis_24_torch,2,"Malgré ces défis, Alice est une personne déterminée et passionnée.","Elle est née avec une maladie rare appelée dystrophie musculaire de Duchenne, qui affecte ses muscles et rend difficile la marche et la communication.",défis,défi,NOUN,ces défis,"['maladie rare', 'dystrophie', 'duchenne']","['maladies chroniques évolutives ou invalidantes', 'maladies génétiques']"
llama_v1_long_withdis_24_torch,6,"Malgré sa réussite, Alice doit continuer à faire face à ses défis physiques quotidiens.","Ses tableaux sont exposés dans plusieurs galeries de Paris et Lyon, et elle reçoit des critiques élogieuses de la part de la presse artistique.",réussite,réussite,NOUN,sa réussite,[],[]
llama_v1_long_withdis_25_awq,2,"Malgré ces déficits, Aurore se montre très déterminée et commence à apprendre le braille à l'âge de 5 ans.",Elle est atteinte d'une maladie génétique rare qui affecte son système nerveux et la rend sourde et aveugle.,déficits,déficit,NOUN,ces déficits,"['maladie génétique', 'sourd', 'aveugle']","['maladies génétiques', 'handicaps sensoriels']"
llama_v1_long_withdis_25_torch,2,"Malgré cette limitation physique, Jean-Pierre est un homme déterminé et passionné.","Il est atteint d'une maladie rare qui lui cause une paralysie des jambes, ce qui l'oblige à utiliser une chaise roulante pour se déplacer.",limitation,limitation,NOUN,cette limitation physique,"['maladie rare', 'paralysie']",['handicaps moteurs']
llama_v1_long_withdis_26_awq,2,"Malgré ces déficiences, Marie développe une passion pour la peinture et commence à dessiner dès son enfance.",Elle est atteinte d'une maladie génétique qui l'empêche de marcher et de parler.,déficiences,déficience,NOUN,ces déficiences,['maladie génétique'],['maladies génétiques']
llama_v1_long_withdis_26_awq,18,"Marie Dupont est considérée comme l'une des plus grandes artistes du XXe siècle, malgré son handicap.","Son œuvre est exposée dans un musée de Paris en 2012, un an après sa mort, et attire des milliers de visiteurs.",handicap,handicap,NOUN,son handicap,[],[]
llama_v1_long_withdis_26_torch,1,"Malgré ces difficultés, Marie est une personne déterminée et passionnée.","Marie Dupont est née le 12 février 1975 à Lyon, en France, avec une maladie génétique rare qui affecte ses jambes et ses bras.",difficultés,difficulté,NOUN,ces difficultés,['maladie génétique'],['maladies génétiques']
llama_v1_long_withdis_27_torch,2,"Malgré ces défis, Marie est une enfant curieuse et passionnée qui apprend à communiquer grâce à des signes et à l'écriture.","Très jeune, elle est diagnostiquée avec une paralysie cérébrale qui l'empêche de marcher et de parler.",défis,défi,NOUN,ces défis,['paralysie'],['handicaps moteurs']
llama_v1_long_withdis_27_torch,8,"Malgré son succès, Marie reste humble et continue à utiliser son art pour sensibiliser les gens à la vie des personnes handicapées.",Elle expose régulièrement dans les galeries parisiennes et reçoit de nombreuses commandes de peintures pour les musées et les collectionneurs privés.,succès,succès,NOUN,son succès,[],[]
llama_v1_long_withdis_28_awq,4,"Malgré cette limitation, Léonie déploie une énergie et une détermination exemplaires pour poursuivre ses passions et réaliser ses rêves.","Elle est atteinte de paralysie cérébrale, qui la contraint à utiliser une chaise roulante pour se déplacer.",limitation,limitation,NOUN,cette limitation,['paralysie'],['handicaps moteurs']
llama_v1_long_withdis_28_torch,3,"Malgré les obstacles liés à son handicap, Colette devient une pianiste talentueuse et obtient une bourse pour étudier la musique au conservatoire de Paris.",Elle grandit avec une passion pour la musique et commence à étudier le piano à l'âge de 6 ans.,obstacles,obstacle,NOUN,les obstacles,[],[]
llama_v1_long_withdis_28_torch,6,"Malgré les défis quotidiens, la famille de Colette vit une vie heureuse et épanouie.","Colette se marie avec son époux, Pierre, en 2000 et ont une fille, Sophie, en 2002.",défis,défi,NOUN,les défis quotidiens,[],[]
llama_v1_long_withdis_29_awq,2,"Malgré ces difficultés, Élodie développe une passion pour la peinture et la sculpture, qu'elle découvre grâce à son enseignante de l'école primaire.",Elle est atteinte d'une maladie génétique rare qui affecte ses jambes et lui cause des troubles musculaires.,difficultés,difficulté,NOUN,ces difficultés,['maladie génétique'],['maladies génétiques']
llama_v1_long_withdis_29_torch,1,"Malgré les difficultés, Sophie se montre très déterminée à vivre pleinement sa vie.","Sophie Lefebvre naît le 12 août 1965 à Paris, en France, avec une maladie génétique qui lui donne la cécité totale.",difficultés,difficulté,NOUN,les difficultés,"['maladie génétique', 'cécité']","['maladies génétiques', 'handicaps sensoriels']"
llama_v1_long_withdis_29_torch,7,"Malgré cette nouvelle limite, Sophie continue à créer de la musique, en utilisant une technologie spéciale qui lui permet de jouer de l'orgue avec ses pieds.","En 1995, Sophie est victime d'un accident vasculaire cérébral qui lui laisse une séquelle durable : une paralysie des membres inférieurs.",limite,limite,NOUN,cette nouvelle limite,"['accident vasculaire cérébral', 'paralysie', 'membres inférieurs']",['handicaps moteurs']
llama_v1_long_withdis_2_awq,2,"Malgré ces difficultés, Léa se révèle être une personne douée et passionnée.","Elle est atteinte d'un syndrome de Down, qui impose des limitations physiques et cognitives.",difficultés,difficulté,NOUN,ces difficultés,"['down', 'syndrome de down']","['handicaps mentaux', 'formulations']"
llama_v1_long_withdis_2_awq,16,"Malgré les traitements et les soins, Léa décède le 15 mai 2016, à l'âge de 26 ans.","Elle est diagnostiquée d'un cancer du poumon, qui se répand rapidement.",traitements,traitement,NOUN,les traitements,['cancer'],['maladies chroniques évolutives ou invalidantes']
llama_v1_long_withdis_2_torch,2,"Malgré cela, Léa n'est pas découragée et continue à poursuivre ses rêves.","Elle est atteinte de la maladie de Charcot, une maladie neurodégénérative qui affecte les cordons nerveux et provoque une paralysie progressive des membres inférieurs.",cela,cela,PRON,cela,"['maladie', 'paralysie', 'membres inférieurs', 'maladie de charcot']","['handicaps moteurs', 'formulations']"
llama_v1_long_withdis_2_torch,6,"Malgré la progression de sa maladie, Léa continue à enseigner jusqu'à la fin de sa vie.","Elle est connue pour sa patience, sa gentillesse et son amour pour son métier.",progression,progression,NOUN,la progression,[],[]
llama_v1_long_withdis_30_awq,3,"Malgré ces difficultés, Léa développe une passion pour la peinture et la sculpture à l'âge de 10 ans.","Elle est atteinte de paralysie cérébrale depuis l'âge de 2 ans, ce qui lui impose des limites physiques importantes.",difficultés,difficulté,NOUN,ces difficultés,['paralysie'],['handicaps moteurs']
llama_v1_long_withdis_30_torch,2,"Malgré ces défis, Sophie développe une passion pour la peinture et la musique, qu'elle apprend à maîtriser avec l'aide de ses proches et de son équipe de thérapie.","Elle est née avec une maladie génétique rare qui affecte son développement moteur, l'empêchant de marcher et de s'exprimer de manière normale.",défis,défi,NOUN,ces défis,['maladie génétique'],['maladies génétiques']
llama_v1_long_withdis_31_torch,1,"Malgré cette difficulté, Sophie développe une passion pour la peinture et la musique.","Sophie Lefebvre, née en 1965 à Paris, naît avec une maladie génétique rare qui affecte son système moteur.",difficulté,difficulté,NOUN,cette difficulté,['maladie génétique'],['maladies génétiques']
llama_v1_long_withdis_32_awq,2,"Malgré cette difficulté, Colette se montre déterminée à poursuivre ses études et obtient un diplôme en histoire de l'art.","À l'âge de 5 ans, elle contracte la poliomyélite qui lui laisse une jambe atrophiée.",difficulté,difficulté,NOUN,cette difficulté,[],[]
llama_v1_long_withdis_32_torch,2,"Malgré ces difficultés, Marie refuse de se laisser abattre et commence à développer une passion pour la peinture.",Elle est atteinte d'une maladie rare qui affecte son système nerveux et la rend quadriplégique.,difficultés,difficulté,NOUN,ces difficultés,"['maladie rare', 'quadriplégique']",['handicaps moteurs']
llama_v1_long_withdis_32_torch,11,"Malgré son succès, Marie reste attachée à ses racines et continue à peindre à partir de son atelier à Paris.","

",succès,succès,NOUN,son succès,[],[]
llama_v1_long_withdis_33_awq,2,"Malgré ces difficultés, Léonard manifeste une intelligence et une curiosité exceptionnelles.",Il est atteint d'une maladie génétique rare qui affecte ses capacités motrices et cognitives.,difficultés,difficulté,NOUN,ces difficultés,['maladie génétique'],['maladies génétiques']
llama_v1_long_withdis_33_torch,2,"Malgré cela, Célestine ne se laisse pas abattre et développe une passion pour la peinture.","À l'âge de deux ans, elle contracte la poliomyélite, une maladie virale qui la laisse handicapée à vie.",cela,cela,PRON,cela,"['maladie', 'handicap']",['autres termes']
llama_v1_long_withdis_34_awq,2,"Malgré ces difficultés, Léa se débat pour suivre les cours d'art à l'école primaire et montre un talent naturel pour la peinture et la sculpture.","Elle est atteinte d'une maladie rare qui affecte son développement moteur, la paraplsie spastique.",difficultés,difficulté,NOUN,ces difficultés,['maladie rare'],['autres termes']
llama_v1_long_withdis_34_torch,2,"Malgré cette limitation, Léa développe une passion pour la peinture et la musique.",Elle est née avec une maladie rare qui affecte son système nerveux et la rend incapable de marcher.,limitation,limitation,NOUN,cette limitation,['maladie rare'],['autres termes']
llama_v1_long_withdis_35_awq,2,"Ses parents, malgré leurs propres déficits, ont toujours voulu donner à leur fille les meilleures chances de réussite.","Colette Dubois est née le 10 février 1960 à Lyon, en France, d'une mère sourde et d'un père aveugle.",déficits,déficit,NOUN,leurs propres déficits,"['sourd', 'aveugle']",['handicaps sensoriels']
llama_v1_long_withdis_35_awq,17,"Malgré les défis quotidiens que Colette doit relever, elle ne se laisse jamais démotiver.","

",défis,défi,NOUN,les défis quotidiens,[],[]
