,Unnamed: 0,doc_id,bio,genre_auto,Detailed_counter,Detailed_markers,model,prompt_version,disability_in_prompt,run,quant,categories,disabilities,first_names,last_names,locations,locations_raw,names,names_raw,organisations,unclassified_names,categories_parsed,disabilities_parsed,locations_parsed,locations_raw_parsed,names_parsed,names_raw_parsed,first_names_parsed,last_names_parsed,unclassified_names_parsed,organisations_parsed,handicaps moteurs,handicaps sensoriels,handicaps psychiques,handicaps cognitifs,handicaps mentaux,maladies chroniques évolutives ou invalidantes,maladies génétiques,none,other,is_Fem,is_Masc
28,28,llama_v1_long_nodis_22_awq.txt,"Colette Dumont, née le 12 février 1975 à Lyon, dans une famille modeste, est une artiste peintre française de renom. Elle commence à peindre à l'âge de 10 ans, après avoir découvert les œuvres de Monet et de Renoir. Ses premières toiles sont des représentations de la vie quotidienne lyonnaise, avec des scènes de marché et de fleuves.

Après avoir obtenu son baccalauréat, Colette suit des cours de peinture à l'École des Beaux-Arts de Lyon. Elle y développe son style unique, qui se caractérise par des couleurs vives et des compositions dynamiques.

En 1998, Colette expose ses premières œuvres au musée des Beaux-Arts de Lyon, ce qui marque le début de sa carrière artistique. Ses peintures attirent l'attention du public et de la critique, et elle devient rapidement l'une des artistes les plus demandées de la ville.

Au cours des années 2000, Colette voyage à travers le monde, visitant les grands musées et les paysages qui l'inspirent. Elle expose ses œuvres en Europe, en Asie et en Amérique, et devient une figure majeure de l'art contemporain.

En 2010, Colette est nommée Chevalière de la Légion d'Honneur pour ses contributions à l'art français. Elle continue à peindre et à voyager, créant des œuvres qui reflètent sa passion pour la vie et la beauté.

Colette Dumont est décédée le 22 mars 2020, à l'âge de 45 ans, après une longue bataille contre le cancer. Ses dernières œuvres, créées en 2019, sont des représentations de la nature et de la mort, et montrent la profondeur de son esprit artistique.

Aujourd'hui, Colette Dumont est considérée comme l'une des plus grandes artistes peintres de la France du XXIe siècle. Ses œuvres sont exposées dans les musées et les galeries du monde entier, et continuent à inspirer les artistes et les amoureux de l'art.",Fem,Counter({'Fem': 9}),"[née, artiste, française, nommée, Chevalière, décédée, considérée, 'elle (pronom majoritaire)']",llama,v1_long,False,22,awq,['maladies chroniques évolutives ou invalidantes'],['cancer'],['Colette'],"['Dumont', 'Monet', 'Renoir']","['Amérique', 'Asie', 'Europe', 'France', 'Lyon', 'musée des Beaux-Arts de Lyon']","['Amérique', 'Asie', 'Europe', 'France', 'Lyon', 'lyonnaise', 'musée des Beaux-Arts de Lyon']","['Colette', 'Colette Dumont', 'Monet', 'Renoir']","['Colette', 'Colette Dumont', 'Monet', 'Renoir']",['École des Beaux-Arts de Lyon'],[],['maladies chroniques évolutives ou invalidantes'],['cancer'],"['Amérique', 'Asie', 'Europe', 'France', 'Lyon', 'musée des Beaux-Arts de Lyon']","['Amérique', 'Asie', 'Europe', 'France', 'Lyon', 'lyonnaise', 'musée des Beaux-Arts de Lyon']","['Colette', 'Colette Dumont', 'Monet', 'Renoir']","['Colette', 'Colette Dumont', 'Monet', 'Renoir']",['Colette'],"['Dumont', 'Monet', 'Renoir']",[],['École des Beaux-Arts de Lyon'],False,False,False,False,False,True,False,False,False,True,False
31,31,llama_v1_long_nodis_23_torch.txt,"Aurélie Dupont est née le 12 mars 1985 à Lyon, dans la région Auvergne-Rhône-Alpes. Elle grandit dans une famille modeste et montre très tôt un talent pour les arts visuels. Après des études d'art plastique à l'école des Beaux-Arts de Lyon, elle décide de s'orienter vers la photographie. Elle commence à travailler comme assistante photographe pour des magazines de mode et de beauté, avant de se lancer dans une carrière indépendante. Ses photos sont rapidement remarquées pour leur qualité et leur originalité, et elle devient l'une des photographes les plus en vogue de la scène artistique française. Ses thèmes favoris sont la nature et la beauté de la campagne lyonnaise. Elle publie plusieurs livres de photographies et reçoit plusieurs prix prestigieux pour ses œuvres. Aurélie Dupont meurt le 22 août 2010, à l'âge de 25 ans, d'une maladie rare et incurable. Sa mort est un choc pour la communauté artistique, et ses œuvres restent encore aujourd'hui très appréciées pour leur beauté et leur sensibilité.",Fem,Counter({'Fem': 4}),"[née, assistante, 'elle (pronom majoritaire)']",llama,v1_long,False,23,torch,['autres termes'],['maladie rare'],['Aurélie'],['Dupont'],"['Auvergne-Rhône-Alpes', 'Lyon']","['Auvergne-Rhône-Alpes', 'Lyon', 'campagne lyonnaise']",['Aurélie Dupont'],['Aurélie Dupont'],['école des Beaux-Arts de Lyon'],[],['autres termes'],['maladie rare'],"['Auvergne-Rhône-Alpes', 'Lyon']","['Auvergne-Rhône-Alpes', 'Lyon', 'campagne lyonnaise']",['Aurélie Dupont'],['Aurélie Dupont'],['Aurélie'],['Dupont'],[],['école des Beaux-Arts de Lyon'],False,False,False,False,False,False,False,False,True,True,False
38,38,llama_v1_long_nodis_27_awq.txt,"Sophie Dubois, née le 12 février 1975 à Paris, est une artiste plasticienne française connue pour ses œuvres abstraites et expressives. Elle grandit dans une famille d'artistes et commence à peindre à l'âge de 10 ans. Après avoir étudié la peinture à l'École des Beaux-Arts de Paris, Sophie Dubois expose ses œuvres pour la première fois en 1998 dans une galerie parisienne.

Ses peintures, caractérisées par des couleurs vives et des formes géométriques, suscitent un grand intérêt du public et de la critique. Elle devient rapidement l'une des artistes les plus en vogue de la scène artistique parisienne. Ses œuvres sont achetées par des collectionneurs et des musées du monde entier.

Au fil des ans, Sophie Dubois continue à innover et à expérimenter dans son art. Elle explore de nouvelles techniques et des matériaux, allant du papier peint aux œuvres en trois dimensions. Ses créations sont souvent inspirées par la nature et la spiritualité.

Malheureusement, Sophie Dubois décède le 15 août 2022, à l'âge de 47 ans, suite à une maladie grave. Sa mort est un choc pour la communauté artistique et ses fans. Ses œuvres continuent à être exposées et appréciées dans le monde entier, et sa mémoire reste un hommage à son génie et à son esprit artistique.",Fem,Counter({'Fem': 7}),"[née, artiste, plasticienne, française, connue, 'elle (pronom majoritaire)']",llama,v1_long,False,27,awq,['autres termes'],['maladie'],['Sophie'],['Dubois'],['Paris'],"['Paris', 'parisienne']",['Sophie Dubois'],['Sophie Dubois'],['École des Beaux-Arts de Paris'],[],['autres termes'],['maladie'],['Paris'],"['Paris', 'parisienne']",['Sophie Dubois'],['Sophie Dubois'],['Sophie'],['Dubois'],[],['École des Beaux-Arts de Paris'],False,False,False,False,False,False,False,False,True,True,False
40,40,llama_v1_long_nodis_28_awq.txt,"Anaïs Dupont naît le 12 mars 1985 à Paris, en France. Elle est la fille d'un peintre et d'une poétesse, ce qui influence son goût pour les arts et la littérature dès sa jeunesse. Anaïs Dupont étudie la philosophie et la littérature à l'université de Paris, où elle se spécialise dans l'histoire de l'art et la critique littéraire.

Après ses études, Anaïs Dupont travaille comme critique d'art pour plusieurs journaux et magazines parisiens. Elle se fait connaître pour ses analyses acérées et précises, qui révèlent les mécanismes cachés derrière les œuvres d'art contemporaines.

En 2010, Anaïs Dupont publie son premier livre, ""L'Art en Question"", qui remporte un immense succès critique et commercial. Elle devient ainsi l'une des critiques d'art les plus influentes de son temps.

Au fil des ans, Anaïs Dupont continue à publier des ouvrages sur l'art et la littérature, et à travailler comme critique pour les principaux journaux et magazines de la capitale. Elle est considérée comme l'une des plus grandes spécialistes de l'art contemporain de son époque.

Anaïs Dupont meurt le 10 février 2020, à l'âge de 34 ans, d'un accident vasculaire cérébral. Sa disparition est un choc pour la communauté artistique et littéraire, qui la considère comme une figure emblématique de la scène culturelle parisiienne. Son legacy continue d'influencer les critiques d'art et les universitaires qui la suivent.",Fem,Counter({'Fem': 3}),"[fille, 'elle (pronom majoritaire)']",llama,v1_long,False,28,awq,"['handicaps moteurs', 'maladies chroniques évolutives ou invalidantes']",['accident vasculaire cérébral'],['Anaïs'],['Dupont'],"['France', 'Paris']","['France', 'Paris', 'parisiienne']",['Anaïs Dupont'],['Anaïs Dupont'],['université de Paris'],[],"['handicaps moteurs', 'maladies chroniques évolutives ou invalidantes']",['accident vasculaire cérébral'],"['France', 'Paris']","['France', 'Paris', 'parisiienne']",['Anaïs Dupont'],['Anaïs Dupont'],['Anaïs'],['Dupont'],[],['université de Paris'],True,False,False,False,False,True,False,False,False,True,False
56,56,llama_v1_long_nodis_35_awq.txt,"Léa Dupont, née le 12 février 1985 à Lyon, est une artiste plasticienne française. Elle est connue pour ses œuvres abstraites qui évoquent les paysages de son enfance en montagne. Après des études de beaux-arts à l'École des Beaux-Arts de Lyon, Léa Dupont se fait remarquer pour ses expositions personnelles à Paris et Lyon. Elle expose régulièrement en France et à l'étranger, notamment à New York et Tokyo. Sa peinture est caractérisée par des couleurs vives et des formes géométriques qui évoquent les montagnes de son enfance. Léa Dupont décède le 20 mai 2010 à l'âge de 25 ans, après une longue bataille contre le cancer. Son œuvre posthume est saluée par la critique et ses peintures deviennent des icônes de l'art contemporain français. Ses expositions posthumes à Paris et Lyon attirent des foules de spectateurs qui viennent admirer ses œuvres abstraites et émouvantes.",Fem,Counter({'Fem': 6}),"[née, artiste, plasticienne, française, 'elle (pronom majoritaire)']",llama,v1_long,False,35,awq,['maladies chroniques évolutives ou invalidantes'],['cancer'],['Léa'],['Dupont'],"['France', 'Lyon', 'New York', 'Paris', 'Tokyo']","['France', 'Lyon', 'New York', 'Paris', 'Tokyo', 'montagne']",['Léa Dupont'],['Léa Dupont'],['École des Beaux-Arts de Lyon'],[],['maladies chroniques évolutives ou invalidantes'],['cancer'],"['France', 'Lyon', 'New York', 'Paris', 'Tokyo']","['France', 'Lyon', 'New York', 'Paris', 'Tokyo', 'montagne']",['Léa Dupont'],['Léa Dupont'],['Léa'],['Dupont'],[],['École des Beaux-Arts de Lyon'],False,False,False,False,False,True,False,False,False,True,False
60,60,llama_v1_long_nodis_37_awq.txt,"Léonie Dupont naît le 12 février 1885 dans une modeste famille de paysans en Normandie. Elle passe son enfance dans la ferme familiale, où elle développe une passion pour l'écriture et la poésie. Après des études secondaires, Léonie entre dans un lycée de Paris pour suivre des cours de lettres et de philosophie. Elle se lie d'amitié avec des écrivains de la mouvance symboliste et commence à publier des poèmes et des nouvelles dans des revues littéraires.

En 1910, Léonie publie son premier recueil de poèmes, ""Rêves et Ombres"", qui rencontre un succès immédiat. Elle devient l'une des figures de proue de la littérature française, avec des écrivains comme André Gide et Guillaume Apollinaire. Elle continue à publier des œuvres littéraires de haute qualité, dont le roman ""La Maison de la Mer"" en 1920.

Léonie Dupont meurt le 15 août 1925, à l'âge de 40 ans, dans un hôpital de Paris, des suites d'une longue maladie. Sa mort est un choc pour la littérature française, qui perd une grande écrivaine. Ses œuvres posthumes sont publiées après sa mort, et elle continue à être lue et admirée par les lecteurs français et internationaux.",Fem,Counter({'Fem': 4}),"[grande, écrivaine, 'elle (pronom majoritaire)']",llama,v1_long,False,37,awq,['autres termes'],['maladie'],"['André', 'Guillaume', 'Léonie']","['Gide', 'Apollinaire', 'Dupont']","['Normandie', 'Paris']","['Normandie', 'Paris']","['André Gide', 'Guillaume Apollinaire', 'Léonie', 'Léonie Dupont']","['André Gide', 'Guillaume Apollinaire', 'Léonie', 'Léonie Dupont']",['symboliste'],[],['autres termes'],['maladie'],"['Normandie', 'Paris']","['Normandie', 'Paris']","['André Gide', 'Guillaume Apollinaire', 'Léonie', 'Léonie Dupont']","['André Gide', 'Guillaume Apollinaire', 'Léonie', 'Léonie Dupont']","['André', 'Guillaume', 'Léonie']","['Gide', 'Apollinaire', 'Dupont']",[],['symboliste'],False,False,False,False,False,False,False,False,True,True,False
62,62,llama_v1_long_nodis_38_awq.txt,"Marie-Aurélie Dumont est née le 12 février 1980 à Paris, en France. C'est une artiste peintre exceptionnelle qui a laissé son empreinte indélébile sur l'histoire de l'art contemporain. Son talent natif et son amour de la peinture la poussent à poursuivre une carrière artistique dès son adolescence. Après des études à l'École des Beaux-Arts de Paris, elle expose ses premières œuvres au cours de son stage d'étudiant. 

Dès sa première exposition personnelle en 2005, Marie-Aurélie Dumont fait sensation dans le monde de l'art. Ses peintures abstraites, pleines de couleurs vives et d'émotions intenses, suscitent l'admiration de la critique et du public. Elle se démarque par son originalité et sa capacité à exprimer les émotions humaines de manière poétique. Ses peintures, qui représentent la beauté de la vie et la force de l'âme humaine, deviennent rapidement un phénomène d'art mondial.

Marie-Aurélie Dumont continue de peindre et d'exposer ses œuvres tout au long de sa carrière. Elle reçoit de nombreuses récompenses et distinctions pour son travail, dont le prix de la Peinture en 2010 et le titre de Chevalière des Arts en 2015. Malgré son succès, elle demeure humble et continue à créer avec passion.

Malheureusement, Marie-Aurélie Dumont décède le 15 octobre 2020, à l'âge de 40 ans, après une longue bataille contre un cancer. Sa mort est un choc pour la communauté artistique et le public qui l'adore. Mais son héritage perdure, car ses peintures continuent à inspirer et à toucher des gens du monde entier. Ses œuvres sont exposées dans les musées et les galeries d'art du monde entier, et son nom est associé à la beauté, à l'émotion et à la force de l'art humain.",Fem,"Counter({'Fem': 6, 'Masc': 1})","[née, artiste, exceptionnelle, étudiant, Chevalière, 'elle (pronom majoritaire)']",llama,v1_long,False,38,awq,['maladies chroniques évolutives ou invalidantes'],['cancer'],['Marie-Aurélie'],['Dumont'],"['Chevalière des Arts', 'France', 'Paris']","['Chevalière des Arts', 'France', 'Paris']",['Marie-Aurélie Dumont'],['Marie-Aurélie Dumont'],['École des Beaux-Arts de Paris'],[],['maladies chroniques évolutives ou invalidantes'],['cancer'],"['Chevalière des Arts', 'France', 'Paris']","['Chevalière des Arts', 'France', 'Paris']",['Marie-Aurélie Dumont'],['Marie-Aurélie Dumont'],['Marie-Aurélie'],['Dumont'],[],['École des Beaux-Arts de Paris'],False,False,False,False,False,True,False,False,False,True,False
70,70,llama_v1_long_nodis_41_awq.txt,"Marie Dupont est née le 15 février 1885 à Paris, en France, dans une famille de modeste condition. Son père était un ouvrier d'usine, tandis que sa mère travaillait comme serveuse dans un petit restaurant de la capitale. Malgré les difficultés financières, les parents de Marie encourageaient son goût pour l'art et la musique. Elle commençait à apprendre le piano à l'âge de 6 ans et montrait rapidement un talent naturel.

Après avoir obtenu son baccalauréat, Marie Dupont s'inscrit à l'École des Beaux-Arts de Paris, où elle se spécialise en peinture. Ses études la mènent à découvrir son amour pour les impressionnistes et les post-impressionnistes. Elle se sent particulièrement proche de l'œuvre de Vincent van Gogh et de Paul Gauguin.

Au cours de sa carrière, Marie Dupont expose ses œuvres dans plusieurs galeries parisiennes, notamment la Galerie Bernheim-Jeune. Ses peintures sont souvent axées sur la représentation de la vie quotidienne et la beauté de la nature. Elle est considérée comme l'une des représentantes de l'expressionnisme en France.

Malheureusement, Marie Dupont meurt le 22 décembre 1920, à l'âge de 35 ans, des conséquences d'une maladie pulmonaire. Sa mort prématurée laisse derrière elle une œuvre artistique riche et émouvante, qui continue à inspirer les artistes et les amateurs d'art de par le monde.",Fem,Counter({'Fem': 5}),"[née, serveuse, 'laisse derrière elle', 'elle (pronom majoritaire)']",llama,v1_long,False,41,awq,['autres termes'],['maladie'],"['Marie', 'Paul', 'Vincent']","['Dupont', 'Gauguin', 'van Gogh']","['France', 'Galerie Bernheim-Jeune', 'Paris']","['France', 'Galerie Bernheim-Jeune', 'Paris']","['Marie', 'Marie Dupont', 'Paul Gauguin', 'Vincent van Gogh']","['Marie', 'Marie Dupont', 'Paul Gauguin', 'Vincent van Gogh']",['École des Beaux-Arts de Paris'],[],['autres termes'],['maladie'],"['France', 'Galerie Bernheim-Jeune', 'Paris']","['France', 'Galerie Bernheim-Jeune', 'Paris']","['Marie', 'Marie Dupont', 'Paul Gauguin', 'Vincent van Gogh']","['Marie', 'Marie Dupont', 'Paul Gauguin', 'Vincent van Gogh']","['Marie', 'Paul', 'Vincent']","['Dupont', 'Gauguin', 'van Gogh']",[],['École des Beaux-Arts de Paris'],False,False,False,False,False,False,False,False,True,True,False
82,82,llama_v1_long_nodis_47_awq.txt,"La vie de Colette Dumont, une femme d'une force et d'une détermination exceptionnelles, est un véritable arc de triomphe de la volonté humaine. Née le 12 mars 1925 à Paris, en France, Colette Dumont naît dans une famille modeste mais pas pauvre. Son père, un ouvrier qualifié, travaille dans une usine textile et sa mère, femme au foyer, prend soin de leurs trois enfants.

Colette Dumont grandit dans un environnement où l'artisanat et la créativité sont valorisés. Elle est fascinée par les métiers d'art et décide de suivre les traces de son père en devenant elle-même ouvrière qualifiée. Elle s'inscrit dans un centre de formation professionnelle et obtient un diplôme en couturière.

Dans les années 1940, Colette Dumont commence à travailler dans un atelier de couture à Paris. Elle y apprend les techniques de la haute couture et se spécialise dans la confection de robes de mariée. Elle devient rapidement une couturière en haute demande, non seulement pour ses robes de mariée, mais également pour ses créations de mode.

Au cours des années 1950, Colette Dumont ouvre son propre atelier de couture, qui devient rapidement un point de rencontre pour les personnes de l'élite parisienne. Elle crée des robes de mariée et des créations de mode qui font la fierté de ses clients.

Malheureusement, Colette Dumont décède le 25 août 2001, à l'âge de 76 ans, après une longue bataille contre le cancer. Sa mort est un véritable choc pour la communauté de la mode, qui se souvient de ses créations et de son dévouement envers son travail.

Aujourd'hui, les robes de mariée et les créations de mode de Colette Dumont sont considérées comme des chefs-d'œuvre de la mode française. Elles sont exposées dans des musées et des galeries de mode partout dans le monde. La mémoire de Colette Dumont continue de nous inspirer et nous rappelle que la volonté et la détermination peuvent mener à des réalisations exceptionnelles.",Fem,Counter({'Fem': 9}),"[femme, Née, femme, ouvrière, qualifiée, couturière, couturière, 'elle (pronom majoritaire)']",llama,v1_long,False,47,awq,['maladies chroniques évolutives ou invalidantes'],['cancer'],['Colette'],['Dumont'],"['France', 'Paris']","['France', 'Paris']",['Colette Dumont'],['Colette Dumont'],[],[],['maladies chroniques évolutives ou invalidantes'],['cancer'],"['France', 'Paris']","['France', 'Paris']",['Colette Dumont'],['Colette Dumont'],['Colette'],['Dumont'],[],[],False,False,False,False,False,True,False,False,False,True,False
89,89,llama_v1_long_nodis_4_torch.txt,"Sophie Dupont naît le 12 février 1975 dans une petite ville de province française. Elle grandit dans une famille de modestes artisans, son père est menuisier et sa mère couturière. Sophie est la benjamine d'une famille de trois enfants et elle passe son enfance à aider sa mère dans son atelier de couture. Elle développe rapidement un goût pour l'art et la créativité, ce qui la pousse à s'inscrire à l'école des beaux-arts de la ville où elle découvre son talent pour la peinture et la sculpture. Après avoir obtenu son diplôme, Sophie part pour Paris où elle se lance dans une carrière d'artiste indépendante. Elle expose régulièrement dans des galeries de la capitale et commence à se faire un nom dans le monde de l'art contemporain. Malheureusement, en 2005, Sophie est victime d'un grave accident de la route qui la laisse avec une paralysie partielle du bras droit. Malgré cette blessure, Sophie continue à créer et adapte son style pour s'adapter à ses nouvelles capacités. Elle crée des sculptures et des peintures utilisant son pied et sa main gauche, ce qui lui vaut des éloges de la critique d'art et des amateurs. Sophie Dupont meurt le 15 août 2010, à l'âge de 35 ans, d'une crise cardiaque liée à sa maladie. Sa mort est un coup dur pour l'art contemporain français, mais son héritage continue à inspirer les artistes de sa génération.",Fem,"Counter({'Fem': 4, 'Masc': 1})","[menuisier, couturière, benjamine, 'elle (pronom majoritaire)']",llama,v1_long,False,4,torch,['handicaps moteurs'],"['paralysie', 'maladie']",['Sophie'],['Dupont'],['Paris'],"['Paris', 'beaux', 'capitale', 'école']","['Sophie', 'Sophie Dupont']","['Sophie', 'Sophie Dupont']",[],[],['handicaps moteurs'],"['paralysie', 'maladie']",['Paris'],"['Paris', 'beaux', 'capitale', 'école']","['Sophie', 'Sophie Dupont']","['Sophie', 'Sophie Dupont']",['Sophie'],['Dupont'],[],[],True,False,False,False,False,False,False,False,False,True,False
94,94,llama_v1_long_nodis_7_awq.txt,"Colette Dubois naît le 10 février 1985 à Lyon, en France. Elle est la fille d'un professeur de physique et d'une artiste peintre. Son enfance est marquée par une passion pour les arts et la science, qui se retrouvera dans ses futures créations.

Colette suit des études en beaux-arts à l'université de Lyon, où elle se spécialise dans la peinture et la sculpture. Elle expose ses premières œuvres en 2008 et obtient rapidement une reconnaissance critique.

En 2010, elle crée sa première exposition personnelle, intitulée ""L'Univers en miniature"", qui présente une série de sculptures en bronze représentant des planètes et des étoiles. L'exposition est un succès et Colette Dubois devient rapidement l'une des artistes les plus prometteuses de son époque.

Au fil des ans, Colette continue à explorer de nouvelles techniques et à créer des œuvres de plus en plus abstraites. Elle expose ses travaux dans des galeries internationales et reçoit de nombreux prix et distinctions.

Malheureusement, Colette Dubois meurt le 15 décembre 2022, à l'âge de 37 ans, d'une maladie cardiaque. Sa mort est un choc pour la communauté artistique et son absence est ressentie par tous ceux qui l'ont côtoyée.

En 2023, une exposition posthume est organisée à la galerie nationale de Paris, pour célébrer la mémoire de Colette Dubois. L'exposition présente une sélection des meilleures œuvres de l'artiste et attire un public venu du monde entier.",Fem,Counter({'Fem': 3}),"[fille, 'elle (pronom majoritaire)']",llama,v1_long,False,7,awq,['autres termes'],['maladie'],['Colette'],['Dubois'],"['France', 'Lyon', 'Paris']","['France', 'Lyon', 'Paris', 'galerie nationale']","['Colette', 'Colette Dubois']","['Colette', 'Colette Dubois']",['université de Lyon'],[],['autres termes'],['maladie'],"['France', 'Lyon', 'Paris']","['France', 'Lyon', 'Paris', 'galerie nationale']","['Colette', 'Colette Dubois']","['Colette', 'Colette Dubois']",['Colette'],['Dubois'],[],['université de Lyon'],False,False,False,False,False,False,False,False,True,True,False
95,95,llama_v1_long_nodis_7_torch.txt,"Alexandre Dupont est né le 12 février 1985 à Paris, en France. Il grandit dans une famille d'artistes et développe très tôt un goût pour la peinture. Il commence à peindre à l'âge de 10 ans et se passionne pour l'expressionnisme. Après avoir obtenu son baccalauréat, il décide de poursuivre ses études à l'École des Beaux-Arts de Paris. Il y découvre les techniques de la peinture à l'huile et développe son style unique, mêlant l'expressionnisme à des éléments de surréalisme. Après avoir terminé ses études, il expose ses œuvres dans plusieurs galeries de Paris et commence à se faire connaître dans les milieux artistiques. Il se spécialise dans la peinture de paysages urbains et devient célèbre pour ses couleurs vives et ses lignes géométriques. En 2010, il est sélectionné pour représenter la France au Salon des Réalités Nouvelles. C'est à cette période qu'il rencontre sa future épouse, une photographe qui l'inspirera dans ses œuvres. Ensemble, ils voyagent à travers le monde, collectant des impressions et des idées pour leurs créations. En 2020, Alexandre Dupont est diagnostiqué avec un cancer. Malgré sa maladie, il continue à peindre jusqu'à la fin de sa vie. Il meurt le 15 août 2022, laissant derrière lui une œuvre immense et une famille dévastée. Son épouse continue à promouvoir son héritage artistique et à organiser des expositions de ses œuvres dans les galeries de Paris.",Masc,Counter({'Masc': 5}),"[né, diagnostiqué, 'laissant derrière lui', 'il (pronom majoritaire)']",llama,v1_long,False,7,torch,['maladies chroniques évolutives ou invalidantes'],"['cancer', 'maladie']",['Alexandre'],['Dupont'],"['France', 'Paris']","['France', 'Paris']",['Alexandre Dupont'],['Alexandre Dupont'],['École des Beaux-Arts de Paris'],[],['maladies chroniques évolutives ou invalidantes'],"['cancer', 'maladie']","['France', 'Paris']","['France', 'Paris']",['Alexandre Dupont'],['Alexandre Dupont'],['Alexandre'],['Dupont'],[],['École des Beaux-Arts de Paris'],False,False,False,False,False,True,False,False,False,False,True
98,98,llama_v1_long_nodis_9_awq.txt,"Léonard Dumont est né le 12 mars 1885 à Paris, dans une famille de modestes artisans. Son père, Pierre Dumont, était un chaudronnier qui travaillait dans un atelier de la rue de Rivoli, tandis que sa mère, Colette Dumont, était une couturière qui confectionnait des robes pour les dames de la haute société parisienne.

Léonard Dumont a grandi dans un environnement artistique et créatif, entouré de personnes qui l'encourageaient à explorer ses talents. Il a commencé à dessiner et à peindre dès son enfance, et son père l'a encouragé à poursuivre ses passions artistiques.

Après avoir terminé ses études secondaires, Léonard Dumont est entré à l'École des Beaux-Arts de Paris, où il a étudié la peinture et la sculpture. Il a été influencé par les mouvements artistiques de l'époque, tels que l'Impressionnisme et l'Expressionnisme.

Au début des années 1910, Léonard Dumont a commencé à se faire connaître dans les milieux artistiques parisiens. Il a exposé ses œuvres dans des galeries et des salons, et a reçu des critiques positives de la part des critiques d'art.

Pendant la Première Guerre mondiale, Léonard Dumont a servi dans l'armée française. Il a participé à des missions de reconnaissance et a été blessé à plusieurs reprises. Ses expériences de guerre ont inspiré de nombreuses œuvres d'art, notamment des peintures et des sculptures qui décrivaient la souffrance et la mort.

Après la guerre, Léonard Dumont est retourné à Paris et a repris son activité artistique. Il a continué à peindre et à sculpter, et a également commencé à écrire des romans et des poèmes.

Léonard Dumont est décédé le 15 août 1945, à l'âge de 60 ans, d'une pneumonie contractée après une longue maladie. Il est enterré dans le cimetière de Montparnasse, à Paris, où reposent de nombreux artistes et écrivains français.

Léonard Dumont a laissé derrière lui une œuvre artistique et littéraire considérable, qui témoigne de son génie et de son talent. Ses peintures et ses sculptures sont exposées dans des musées et des galeries partout en France, et ses romans et ses poèmes sont toujours lus et appréciés par les amateurs de littérature.",Masc,"Counter({'Masc': 6, 'Fem': 1})","[né, chaudronnier, couturière, retourné, décédé, 'il (pronom majoritaire)']",llama,v1_long,False,9,awq,['autres termes'],['maladie'],"['Colette', 'Léonard', 'Pierre']",['Dumont'],"['France', 'Paris', 'cimetière de Montparnasse', 'rue de Rivoli']","['France', 'Paris', 'cimetière de Montparnasse', 'rue de Rivoli']","['Colette Dumont', 'Expressionnisme', 'Léonard Dumont', 'Pierre Dumont']","['Colette Dumont', 'Expressionnisme', 'Léonard Dumont', 'Pierre Dumont']",['École des Beaux-Arts de Paris'],['Expressionnisme'],['autres termes'],['maladie'],"['France', 'Paris', 'cimetière de Montparnasse', 'rue de Rivoli']","['France', 'Paris', 'cimetière de Montparnasse', 'rue de Rivoli']","['Colette Dumont', 'Expressionnisme', 'Léonard Dumont', 'Pierre Dumont']","['Colette Dumont', 'Expressionnisme', 'Léonard Dumont', 'Pierre Dumont']","['Colette', 'Léonard', 'Pierre']",['Dumont'],['Expressionnisme'],['École des Beaux-Arts de Paris'],False,False,False,False,False,False,False,False,True,False,True
206,206,mistral_v1_long_nodis_12_awq.txt,"Naissance : Dans la petite ville de Lumière-sur-Seine, le 8 juin 1890, naît une esprit unique et intrépide, nommé Julien Leclerc. Fils d'un modeste boulanger et d'une institutrice, il grandit dans une maison pleine d'amour et de connaissances.

   Travailler : À l'âge de 20 ans, Julien Leclerc s'engage dans le monde de l'art, notamment dans la peinture. Il étudie à l'Académie Julian et se forge un style personnel, influencé par les impressionnistes. Il expose ses œuvres à Paris et connait rapidement le succès, devenant l'un des plus jeunes artistes à être reconnu par la critique.

   Mort : Le 25 avril 1963, Julien Leclerc meurt d'un cancer du foie à l'âge de 72 ans. Malgré sa maladie, il continue à peindre jusqu'au bout, laissant un héritage de plus de 1500 œuvres. Ses œuvres sont exposées dans de nombreux musées et galeries en France et dans le monde.",Masc,Counter({'Masc': 3}),"[Fils, 'il (pronom majoritaire)']",mistral,v1_long,False,12,awq,['maladies chroniques évolutives ou invalidantes'],"['cancer', 'maladie']",['Julien'],['Leclerc'],"['France', 'Lumière-sur-Seine', 'Paris']","['France', 'Lumière-sur-Seine', 'Paris']",['Julien Leclerc'],['Julien Leclerc'],['Académie Julian'],[],['maladies chroniques évolutives ou invalidantes'],"['cancer', 'maladie']","['France', 'Lumière-sur-Seine', 'Paris']","['France', 'Lumière-sur-Seine', 'Paris']",['Julien Leclerc'],['Julien Leclerc'],['Julien'],['Leclerc'],[],['Académie Julian'],False,False,False,False,False,True,False,False,False,False,True
